id;date_at;details;payment_method;price;paid;not_paid
1;2022-04-25;Savings Sausages;payment bleeding-edge;77248;42560;28949
2;2022-04-25;Sleek relationships Consultant;technologies Computer;63535;91022;91173
3;2022-04-25;Health monitor;card digital;59283;69907;11282
4;2022-04-25;Plastic Avon Branch;Lesotho;11186;94369;18326
5;2022-04-25;Handcrafted;Concrete Cambridgeshire;3624;54181;497
6;2022-04-25;Mississippi;Sausages compressing;65999;60164;5070
7;2022-04-25;Future GB;Borders withdrawal Assistant;30569;27955;47188
8;2022-04-25;Ball Faso;magnetic;8476;1743;17639
9;2022-04-25;hard;Steel Security Car;21185;39990;33047
10;2022-04-25;Salad strategic;Borders Handcrafted state;1885;46080;33422
