id;name;name_ar;mobile_number;email;online_report;contract_type;discount
1;Pants invoice green;invoice optimizing;overriding;Priscilla_Bins@hotmail.com;false;SPECIMEN;66840
2;Unbranded Technician;Sharable;extensible;Price_Kshlerin@yahoo.com;true;SIZE;53343
3;Cross-platform;Islands transmit Licensed;Direct Table index;Alex11@gmail.com;true;SPECIMEN;47779
4;Road Licensed;e-markets;transmit Underpass Mexico;Boyd.Mills@hotmail.com;true;SIZE;28476
5;vortals Reverse-engineered JBOD;Up-sized;architect Uzbekistan;Mya.Hackett65@gmail.com;true;SIZE;90117
6;input purple SAS;solution;indexing up extranet;Enoch40@gmail.com;true;SIZE;94346
7;bypass Accountability;Licensed;Borders Buckinghamshire;Colton_Goldner@yahoo.com;false;SIZE;5515
8;Ohio synthesizing;Bahrain JBOD Persevering;Sleek Cotton Mouse;Rachel25@yahoo.com;true;SIZE;38353
9;GB;Hat;Gorgeous Outdoors Maine;Luna.Schinner84@yahoo.com;false;SPECIMEN;85227
10;Borders benchmark;Steel pixel;sky Stand-alone distributed;Eudora70@yahoo.com;true;SPECIMEN;10252
