id;specimen_id;lab_ref_no;specimen_status_from;specimen_status_to;user_type
1;36045;Functionality Guinea-Bissau;TYPING;STAINING;Mission customized Checking
2;24542;Fantastic;READY;READY;mobile Shirt
3;24015;Drive Future-proofed RSS;STAINING;STAINING;Iowa
4;64071;Valley;REVISION;TYPING;Gloves
5;46221;Tools Games Optimization;DIAGNOSING;GROSSING;radical disintermediate
6;53034;Rubber;GROSSING;DIAGNOSING;real-time parse
7;29605;coherent;TYPING;EMBEDDING;frame Steel Wooden
8;39839;Fresh interface;PROCESSING;EMBEDDING;virtual SAS
9;96204;Senior;TYPING;DIAGNOSING;Chicken Computers Director
10;84257;Tactics deposit Pizza;PROCESSING;GROSSING;SDD Cedi
